"assembly","seq_name","chromosome","localised","pretext_scaffold","length","length_minus_gaps"
"Primary","SUPER_19","19","true","Scaffold_19",169231278,169222178
"Primary","SUPER_20","20","true","Scaffold_20",168010722,167989022
"Primary","SUPER_21","21","true","Scaffold_21",167705873,167684473
"Primary","SUPER_22","22","true","Scaffold_22",159932840,159912640
"Primary","SUPER_22_unloc_1","22","false","Scaffold_22",370689,370689
"Primary","SUPER_23","23","true","Scaffold_23",159834116,159817916
"Primary","SUPER_24","24","true","Scaffold_24",159789211,159771711
"Primary","SUPER_25","25","true","Scaffold_25",156921798,156903498
"Primary","SUPER_26","26","true","Scaffold_26",152366514,152350714
"Primary","SUPER_27","27","true","Scaffold_27",147382143,147362043
"Primary","SUPER_27_unloc_1","27","false","Scaffold_27",1581089,1580989
"Primary","SUPER_27_unloc_2","27","false","Scaffold_27",787445,787245
"Primary","SUPER_28","28","true","Scaffold_28",149438309,149426409
"Primary","SUPER_29","29","true","Scaffold_30",147303349,147291349
"Primary","SUPER_30","30","true","Scaffold_29",138982941,138966041
"Primary","SUPER_30_unloc_1","30","false","Scaffold_29",2702107,2701907
"Primary","SUPER_30_unloc_2","30","false","Scaffold_29",2378252,2378052
"Primary","SUPER_30_unloc_3","30","false","Scaffold_29",1982312,1982312
"Primary","SUPER_30_unloc_4","30","false","Scaffold_29",1209103,1209103
"Primary","SUPER_31","31","true","Scaffold_31",146090775,146070175
"Primary","SUPER_32","32","true","Scaffold_32",140261298,140242798
"Primary","SUPER_32_unloc_1","32","false","Scaffold_32",5655560,5655560
"Primary","SUPER_33","33","true","Scaffold_33",144564452,144547552
"Primary","SUPER_34","34","true","Scaffold_34",143993395,143969795
"Primary","SUPER_35","35","true","Scaffold_35",142141817,142126817
"Primary","SUPER_35_unloc_1","35","false","Scaffold_35",551391,551391
"Primary","SUPER_36","36","true","Scaffold_36",139436358,139420558
"Primary","SUPER_36_unloc_1","36","false","Scaffold_36",707993,707993
"Primary","SUPER_37","37","true","Scaffold_37",139418510,139405210
"Primary","SUPER_38","38","true","Scaffold_38",139122655,139110855
"Primary","SUPER_39","39","true","Scaffold_39",136566110,136550010
"Primary","SUPER_39_unloc_1","39","false","Scaffold_39",1034678,1034578
"Primary","SUPER_40","40","true","Scaffold_40",137589310,137573810
"Primary","SUPER_41","41","true","Scaffold_41",135699898,135685398
"Primary","SUPER_41_unloc_1","41","false","Scaffold_41",498000,498000
"Primary","SUPER_41_unloc_2","41","false","Scaffold_41",283064,282964
"Primary","SUPER_42","42","true","Scaffold_42",134130412,134121712
"Primary","SUPER_42_unloc_1","42","false","Scaffold_42",615627,615527
"Primary","SUPER_42_unloc_2","42","false","Scaffold_42",149129,149129
"Primary","SUPER_43","43","true","Scaffold_43",129524317,129507917
"Primary","SUPER_43_unloc_1","43","false","Scaffold_43",1958825,1958725
"Primary","SUPER_43_unloc_2","43","false","Scaffold_43",852570,852370
"Primary","SUPER_44","44","true","Scaffold_44",126101487,126090887
"Primary","SUPER_44_unloc_1","44","false","Scaffold_44",196825,196825
"Primary","SUPER_45","45","true","Scaffold_45",125050592,125039192
"Primary","SUPER_45_unloc_1","45","false","Scaffold_45",299029,299029
"Primary","SUPER_45_unloc_2","45","false","Scaffold_45",202646,202546
"Primary","SUPER_46","46","true","Scaffold_46",124022042,124008942
"Primary","SUPER_47","47","true","Scaffold_47",123407248,123394448
"Primary","SUPER_48","48","true","Scaffold_48",123171431,123158531
"Primary","SUPER_49","49","true","Scaffold_49",121548976,121538276
"Primary","SUPER_49_unloc_1","49","false","Scaffold_49",1432511,1432311
"Primary","SUPER_50","50","true","Scaffold_50",121170915,121157715
"Primary","SUPER_50_unloc_1","50","false","Scaffold_50",892532,892532
"Primary","SUPER_50_unloc_2","50","false","Scaffold_50",435000,435000
"Primary","SUPER_51","51","true","Scaffold_51",120982435,120972135
"Primary","SUPER_51_unloc_1","51","false","Scaffold_51",1461929,1461929
"Primary","SUPER_52","52","true","Scaffold_52",107422526,107407126
"Primary","SUPER_52_unloc_1","52","false","Scaffold_52",4928051,4927651
"Primary","SUPER_52_unloc_2","52","false","Scaffold_52",1949840,1949840
"Primary","SUPER_52_unloc_3","52","false","Scaffold_52",1661304,1661204
"Primary","SUPER_52_unloc_4","52","false","Scaffold_52",1540027,1540027
"Primary","SUPER_52_unloc_5","52","false","Scaffold_52",1539000,1539000
"Primary","SUPER_52_unloc_6","52","false","Scaffold_52",958573,958573
"Primary","SUPER_52_unloc_7","52","false","Scaffold_52",777322,777322
"Primary","SUPER_52_unloc_8","52","false","Scaffold_52",355179,355179
"Primary","SUPER_53","53","true","Scaffold_53",120178429,120167329
"Primary","SUPER_53_unloc_1","53","false","Scaffold_53",882000,882000
"Primary","SUPER_54","54","true","Scaffold_54",119241040,119225540
"Primary","SUPER_54_unloc_1","54","false","Scaffold_54",1292100,1292000
"Primary","SUPER_55","55","true","Scaffold_55",116359897,116347297
"Primary","SUPER_55_unloc_1","55","false","Scaffold_55",359706,359706
"Primary","SUPER_56","56","true","Scaffold_56",112923624,112909824
"Primary","SUPER_57","57","true","Scaffold_57",111942871,111934071
"Primary","SUPER_58","58","true","Scaffold_58",110316603,110309503
"Primary","SUPER_58_unloc_1","58","false","Scaffold_58",614846,614446
"Primary","SUPER_59","59","true","Scaffold_59",110502198,110485998
"Primary","SUPER_60","60","true","Scaffold_60",109789634,109777934
"Primary","SUPER_61","61","true","Scaffold_61",108995832,108982732
"Primary","SUPER_62","62","true","Scaffold_62",107520514,107511814
"Primary","SUPER_62_unloc_1","62","false","Scaffold_62",1029544,1029544
"Primary","SUPER_63","63","true","Scaffold_63",106540022,106527122
"Primary","SUPER_63_unloc_1","63","false","Scaffold_63",463602,463602
"Primary","SUPER_64","64","true","Scaffold_64",106567072,106553872
"Primary","SUPER_65","65","true","Scaffold_65",104573810,104561010
"Primary","SUPER_65_unloc_1","65","false","Scaffold_65",734754,734654
"Primary","SUPER_65_unloc_2","65","false","Scaffold_65",568789,568689
"Primary","SUPER_66","66","true","Scaffold_66",101500807,101490707
"Primary","SUPER_66_unloc_1","66","false","Scaffold_66",2046000,2046000
"Primary","SUPER_66_unloc_2","66","false","Scaffold_66",1802000,1802000
"Primary","SUPER_67","67","true","Scaffold_67",105107337,105097637
"Primary","SUPER_68","68","true","Scaffold_68",99493035,99480335
"Primary","SUPER_68_unloc_1","68","false","Scaffold_68",2893147,2892647
"Primary","SUPER_68_unloc_2","68","false","Scaffold_68",2330790,2330690
"Primary","SUPER_69","69","true","Scaffold_69",100724566,100711066
"Primary","SUPER_69_unloc_1","69","false","Scaffold_69",2829057,2829057
"Primary","SUPER_69_unloc_2","69","false","Scaffold_69",1148854,1148854
"Primary","SUPER_70","70","true","Scaffold_70",100845898,100839098
"Primary","SUPER_70_unloc_1","70","false","Scaffold_70",1044000,1044000
"Primary","SUPER_70_unloc_2","70","false","Scaffold_70",714106,714006
"Primary","SUPER_71","71","true","Scaffold_71",101636333,101628333
"Primary","SUPER_72","72","true","Scaffold_72",100827702,100814202
"Primary","SUPER_73","73","true","Scaffold_73",100819789,100809789
"Primary","SUPER_74","74","true","Scaffold_74",94194118,94182518
"Primary","SUPER_75","75","true","Scaffold_75",93654405,93648205
"Primary","SUPER_75_unloc_1","75","false","Scaffold_75",244200,244200
"Primary","SUPER_76","76","true","Scaffold_76",93846417,93836817
"Primary","SUPER_77","77","true","Scaffold_77",93116240,93106040
"Primary","SUPER_78","78","true","Scaffold_78",92527186,92518986
"Primary","SUPER_79","79","true","Scaffold_79",89126695,89116995
"Primary","SUPER_79_unloc_1","79","false","Scaffold_79",1260435,1260335
"Primary","SUPER_79_unloc_2","79","false","Scaffold_79",589942,589942
"Primary","SUPER_80","80","true","Scaffold_80",88802042,88796342
"Primary","SUPER_81","81","true","Scaffold_81",88434474,88422074
"Primary","SUPER_82","82","true","Scaffold_82",77247499,77243099
"Primary","SUPER_82_unloc_1","82","false","Scaffold_82",1551514,1551514
"Primary","SUPER_82_unloc_2","82","false","Scaffold_82",743024,742824
"Primary","SUPER_82_unloc_3","82","false","Scaffold_82",660965,660965
"Primary","SUPER_82_unloc_4","82","false","Scaffold_82",586000,586000
"Primary","SUPER_83","83","true","Scaffold_83",77792042,77785442
"Primary","SUPER_84","84","true","Scaffold_84",71861854,71854754
"Primary","SUPER_85","85","true","Scaffold_85",71049387,71043987
"Primary","SUPER_86","86","true","Scaffold_86",69921369,69911669
"Primary","SUPER_87","87","true","Scaffold_87",67775505,67768505
"Primary","SUPER_88","88","true","Scaffold_88",65690340,65682640
"Primary","SUPER_88_unloc_1","88","false","Scaffold_88",1525231,1525131
"Primary","SUPER_89","89","true","Scaffold_89",63138349,63131749
"Primary","SUPER_90","90","true","Scaffold_90",51091565,51084565
