FileType	bam	Read submission file type										
study	sample	library_name	library_strategy	library_source	library_selection	library_layout	insert_size	library_construction_protocol	platform	instrument_model	file_name	file_md5
PRJEB74310	ERS18607825	ps_158_001-r54032_20190320_132057-1_C01	WGS	GENOMIC	size fractionation	SINGLE	12000	Procedure & Checklist - 20 kb Template Preparation using SMRTbell template prep kit 1.0	PACBIO_SMRT	Sequel	/PacBio-WGS/m54032_190320_133108.subreads.bam	f5573c0a8fa3ba6ba3bcb2f101046e30
PRJEB74310	ERS18607825	ps_158_001-r54032_20190321_080043-3_D01	WGS	GENOMIC	size fractionation	SINGLE	12000	Procedure & Checklist - 20 kb Template Preparation using SMRTbell template prep kit 1.0	PACBIO_SMRT	Sequel	/PacBio-WGS/m54032_190322_044300.subreads.bam	2577943de5467aac6cf4ddc7702be9ce
PRJEB74310	ERS18607825	ps_158_001-r54032_20190321_080043-4_E01	WGS	GENOMIC	size fractionation	SINGLE	12000	Procedure & Checklist - 20 kb Template Preparation using SMRTbell template prep kit 1.0	PACBIO_SMRT	Sequel	/PacBio-WGS/m54032_190322_145655.subreads.bam	48558f6a1e2f1ed128c8005dc9316a3e
PRJEB74310	ERS18607825	ps_158_001-r54032_20190321_080043-5_F01	WGS	GENOMIC	size fractionation	SINGLE	12000	Procedure & Checklist - 20 kb Template Preparation using SMRTbell template prep kit 1.0	PACBIO_SMRT	Sequel	/PacBio-WGS/m54032_190323_011028.subreads.bam	e807dc120f75e9abcaec7c26d12fde92
PRJEB74310	ERS18607825	ps_158_001-r54032_20190321_080043-6_G01	WGS	GENOMIC	size fractionation	SINGLE	12000	Procedure & Checklist - 20 kb Template Preparation using SMRTbell template prep kit 1.0	PACBIO_SMRT	Sequel	/PacBio-WGS/m54032_190323_112407.subreads.bam	03e74624eca5acbea0ece07cfe4fcd70
PRJEB74310	ERS18607825	ps_158_001-r54032_20190321_080043-7_H01	WGS	GENOMIC	size fractionation	SINGLE	12000	Procedure & Checklist - 20 kb Template Preparation using SMRTbell template prep kit 1.0	PACBIO_SMRT	Sequel	/PacBio-WGS/m54032_190323_213748.subreads.bam	d248bb1464417958595ac7333d6f5c24
PRJEB74310	ERS18607825	ps_158_001-r54259_20190226_135153-1_A01	WGS	GENOMIC	size fractionation	SINGLE	12000	Procedure & Checklist - 20 kb Template Preparation using SMRTbell template prep kit 1.0	PACBIO_SMRT	Sequel	/PacBio-WGS/m54259_190226_140653.subreads.bam	7600287d13bf95ce25dce81b814fd83f
PRJEB74310	ERS18607825	ps_158_001-r54259_20190226_135153-2_B01	WGS	GENOMIC	size fractionation	SINGLE	12000	Procedure & Checklist - 20 kb Template Preparation using SMRTbell template prep kit 1.0	PACBIO_SMRT	Sequel	/PacBio-WGS/m54259_190227_002013.subreads.bam	2f9d5ac32564c4e5d984ffc4f77c79c6
PRJEB74310	ERS18607825	ps_158_001-r54259_20190226_135153-3_C01	WGS	GENOMIC	size fractionation	SINGLE	12000	Procedure & Checklist - 20 kb Template Preparation using SMRTbell template prep kit 1.0	PACBIO_SMRT	Sequel	/PacBio-WGS/m54259_190227_103538.subreads.bam	ee034dabd7ffe6777ad39af7952f01ff
PRJEB74310	ERS18607825	ps_158_001-r54259_20190226_135153-4_D01	WGS	GENOMIC	size fractionation	SINGLE	12000	Procedure & Checklist - 20 kb Template Preparation using SMRTbell template prep kit 1.0	PACBIO_SMRT	Sequel	/PacBio-WGS/m54259_190227_205044.subreads.bam	a8ec62b02c28ce962e0aaaaa51cf0aed
PRJEB74310	ERS18607825	ps_158_001-r54259_20190226_135153-5_E01	WGS	GENOMIC	size fractionation	SINGLE	12000	Procedure & Checklist - 20 kb Template Preparation using SMRTbell template prep kit 1.0	PACBIO_SMRT	Sequel	/PacBio-WGS/m54259_190228_070545.subreads.bam	576784c480e53efdbf80fbc435a74c9e
PRJEB74310	ERS18607825	ps_158_001-r54259_20190226_135153-6_F01	WGS	GENOMIC	size fractionation	SINGLE	12000	Procedure & Checklist - 20 kb Template Preparation using SMRTbell template prep kit 1.0	PACBIO_SMRT	Sequel	/PacBio-WGS/m54259_190228_172012.subreads.bam	cda30bdaa2eadc439f3d554c426877d7
PRJEB74310	ERS18607825	ps_158_001-r54259_20190301_125927-1_A01	WGS	GENOMIC	size fractionation	SINGLE	12000	Procedure & Checklist - 20 kb Template Preparation using SMRTbell template prep kit 1.0	PACBIO_SMRT	Sequel	/PacBio-WGS/m54259_190301_131010.subreads.bam	d87e77f161bc64ab1a14016696a789d3
PRJEB74310	ERS18607825	ps_158_001-r54259_20190301_125927-2_B01	WGS	GENOMIC	size fractionation	SINGLE	12000	Procedure & Checklist - 20 kb Template Preparation using SMRTbell template prep kit 1.0	PACBIO_SMRT	Sequel	/PacBio-WGS/m54259_190301_232304.subreads.bam	50795941d766f72d4ecacd4107836819
PRJEB74310	ERS18607825	ps_158_001-r54259_20190301_125927-3_C01	WGS	GENOMIC	size fractionation	SINGLE	12000	Procedure & Checklist - 20 kb Template Preparation using SMRTbell template prep kit 1.0	PACBIO_SMRT	Sequel	/PacBio-WGS/m54259_190302_093811.subreads.bam	147751acd3113bb3a317d715263c3f37
PRJEB74310	ERS18607825	ps_158_001-r54259_20190304_121801-1_D01	WGS	GENOMIC	size fractionation	SINGLE	12000	Procedure & Checklist - 20 kb Template Preparation using SMRTbell template prep kit 1.0	PACBIO_SMRT	Sequel	/PacBio-WGS/m54259_190304_122807.subreads.bam	469edffa861741f32a3704df6c88a1bd
PRJEB74310	ERS18607825	ps_158_001-r54259_20190304_121801-2_E01	WGS	GENOMIC	size fractionation	SINGLE	12000	Procedure & Checklist - 20 kb Template Preparation using SMRTbell template prep kit 1.0	PACBIO_SMRT	Sequel	/PacBio-WGS/m54259_190304_224107.subreads.bam	7644c2eda579e534b4ec16e237c908a5
PRJEB74310	ERS18607825	ps_158_001-r54259_20190304_121801-3_F01	WGS	GENOMIC	size fractionation	SINGLE	12000	Procedure & Checklist - 20 kb Template Preparation using SMRTbell template prep kit 1.0	PACBIO_SMRT	Sequel	/PacBio-WGS/m54259_190305_085634.subreads.bam	208fd77007d4e5021e34e174bf6bac16
PRJEB74310	ERS18607825	ps_158_001-r54259_20190304_121801-4_G01	WGS	GENOMIC	size fractionation	SINGLE	12000	Procedure & Checklist - 20 kb Template Preparation using SMRTbell template prep kit 1.0	PACBIO_SMRT	Sequel	/PacBio-WGS/m54259_190305_191137.subreads.bam	1c0a3b4aeda18287cc3f98a7adca7916
PRJEB74310	ERS18607825	ps_158_001-r54259_20190304_121801-5_H01	WGS	GENOMIC	size fractionation	SINGLE	12000	Procedure & Checklist - 20 kb Template Preparation using SMRTbell template prep kit 1.0	PACBIO_SMRT	Sequel	/PacBio-WGS/m54259_190306_052735.subreads.bam	ac4bbb5a218a2ecad6a6895c704bba7a
PRJEB74310	ERS18607825	ps_158_001-r54259_20190308_104036-1_A01	WGS	GENOMIC	size fractionation	SINGLE	12000	Procedure & Checklist - 20 kb Template Preparation using SMRTbell template prep kit 1.0	PACBIO_SMRT	Sequel	/PacBio-WGS/m54259_190308_113318.subreads.bam	5bcb5328485323be0e5d6ddd30665491
PRJEB74310	ERS18607825	ps_158_001-r54259_20190308_104036-2_B01	WGS	GENOMIC	size fractionation	SINGLE	12000	Procedure & Checklist - 20 kb Template Preparation using SMRTbell template prep kit 1.0	PACBIO_SMRT	Sequel	/PacBio-WGS/m54259_190308_214639.subreads.bam	7531d92fd37e9d30b54b48702b2df6a0
PRJEB74310	ERS18607825	ps_158_001-r54259_20190308_104036-3_C01	WGS	GENOMIC	size fractionation	SINGLE	12000	Procedure & Checklist - 20 kb Template Preparation using SMRTbell template prep kit 1.0	PACBIO_SMRT	Sequel	/PacBio-WGS/m54259_190309_080201.subreads.bam	3b4bc034cb061d041f3a57419f44b0ea
PRJEB74310	ERS18607825	ps_158_001-r54259_20190308_104036-4_D01	WGS	GENOMIC	size fractionation	SINGLE	12000	Procedure & Checklist - 20 kb Template Preparation using SMRTbell template prep kit 1.0	PACBIO_SMRT	Sequel	/PacBio-WGS/m54259_190309_181728.subreads.bam	64eb034a08d2890081a97b49d0ad1997
PRJEB74310	ERS18607825	ps_158_001-r54259_20190308_104036-5_E01	WGS	GENOMIC	size fractionation	SINGLE	12000	Procedure & Checklist - 20 kb Template Preparation using SMRTbell template prep kit 1.0	PACBIO_SMRT	Sequel	/PacBio-WGS/m54259_190310_043258.subreads.bam	a0ff5005c78306625dc991570b268462
PRJEB74310	ERS18607825	ps_158_001-r54259_20190308_104036-6_F01	WGS	GENOMIC	size fractionation	SINGLE	12000	Procedure & Checklist - 20 kb Template Preparation using SMRTbell template prep kit 1.0	PACBIO_SMRT	Sequel	/PacBio-WGS/m54259_190310_144803.subreads.bam	2c05416eaef71fe8f80c5d422715a45b
PRJEB74310	ERS18607825	ps_158_001-r54259_20190308_104036-7_G01	WGS	GENOMIC	size fractionation	SINGLE	12000	Procedure & Checklist - 20 kb Template Preparation using SMRTbell template prep kit 1.0	PACBIO_SMRT	Sequel	/PacBio-WGS/m54259_190311_010326.subreads.bam	56fcd4312b30622c09fa8e58a4433590
PRJEB74310	ERS18607825	ps_158_001-r54259_20190308_104036-8_H01	WGS	GENOMIC	size fractionation	SINGLE	12000	Procedure & Checklist - 20 kb Template Preparation using SMRTbell template prep kit 1.0	PACBIO_SMRT	Sequel	/PacBio-WGS/m54259_190311_111906.subreads.bam	4c491549a03f731490a826032c316424
PRJEB74310	ERS18607825	ps_158_001-r54259_20190312_102302-1_A01	WGS	GENOMIC	size fractionation	SINGLE	12000	Procedure & Checklist - 20 kb Template Preparation using SMRTbell template prep kit 1.0	PACBIO_SMRT	Sequel	/PacBio-WGS/m54259_190312_103309.subreads.bam	dd03556091acc21f678975d8fec97c71
PRJEB74310	ERS18607825	ps_158_001-r54259_20190312_102302-2_B01	WGS	GENOMIC	size fractionation	SINGLE	12000	Procedure & Checklist - 20 kb Template Preparation using SMRTbell template prep kit 1.0	PACBIO_SMRT	Sequel	/PacBio-WGS/m54259_190312_204616.subreads.bam	22db3d551c5c2c5b8db7946c8566e6ff
PRJEB74310	ERS18607825	ps_158_001-r54259_20190312_102302-3_C01	WGS	GENOMIC	size fractionation	SINGLE	12000	Procedure & Checklist - 20 kb Template Preparation using SMRTbell template prep kit 1.0	PACBIO_SMRT	Sequel	/PacBio-WGS/m54259_190313_070138.subreads.bam	c8f77c95c04188ba0a5c90aa61fa1751
PRJEB74310	ERS18607825	ps_158_001-r54259_20190312_102302-4_D01	WGS	GENOMIC	size fractionation	SINGLE	12000	Procedure & Checklist - 20 kb Template Preparation using SMRTbell template prep kit 1.0	PACBIO_SMRT	Sequel	/PacBio-WGS/m54259_190313_171710.subreads.bam	5fea78f052fe70b8cca896e892abf1b9
PRJEB74310	ERS18607825	ps_158_001-r54259_20190322_102403-1_A01	WGS	GENOMIC	size fractionation	SINGLE	12000	Procedure & Checklist - 20 kb Template Preparation using SMRTbell template prep kit 1.0	PACBIO_SMRT	Sequel	/PacBio-WGS/m54259_190322_103940.subreads.bam	2722ad006cb1a742890ef1b210376541
PRJEB74310	ERS18607825	ps_158_001-r54259_20190322_102403-2_B01	WGS	GENOMIC	size fractionation	SINGLE	12000	Procedure & Checklist - 20 kb Template Preparation using SMRTbell template prep kit 1.0	PACBIO_SMRT	Sequel	/PacBio-WGS/m54259_190322_205304.subreads.bam	a35082550abca18cc3b2da91aeb9a1d7
PRJEB74310	ERS18607825	ps_158_001-r54259_20190322_102403-3_C01	WGS	GENOMIC	size fractionation	SINGLE	12000	Procedure & Checklist - 20 kb Template Preparation using SMRTbell template prep kit 1.0	PACBIO_SMRT	Sequel	/PacBio-WGS/m54259_190323_070904.subreads.bam	555062e91c1ce2c6312d627ac25144d2
PRJEB74310	ERS18607825	ps_158_001-r54259_20190322_102403-4_D01	WGS	GENOMIC	size fractionation	SINGLE	12000	Procedure & Checklist - 20 kb Template Preparation using SMRTbell template prep kit 1.0	PACBIO_SMRT	Sequel	/PacBio-WGS/m54259_190323_172500.subreads.bam	8dfad598fb5b2ef30d7db3268c131c3c
PRJEB74310	ERS18607825	ps_158_001-r54259_20190322_102403-5_E01	WGS	GENOMIC	size fractionation	SINGLE	12000	Procedure & Checklist - 20 kb Template Preparation using SMRTbell template prep kit 1.0	PACBIO_SMRT	Sequel	/PacBio-WGS/m54259_190324_034033.subreads.bam	56ee772907691c1226d08e984bde94a8
PRJEB74310	ERS18607825	ps_158_001-r54259_20190322_102403-6_F01	WGS	GENOMIC	size fractionation	SINGLE	12000	Procedure & Checklist - 20 kb Template Preparation using SMRTbell template prep kit 1.0	PACBIO_SMRT	Sequel	/PacBio-WGS/m54259_190324_135630.subreads.bam	a50ef69119218dcfff5e787b36e4c024
PRJEB74310	ERS18607825	ps_158_001-r54259_20190322_102403-7_G01	WGS	GENOMIC	size fractionation	SINGLE	12000	Procedure & Checklist - 20 kb Template Preparation using SMRTbell template prep kit 1.0	PACBIO_SMRT	Sequel	/PacBio-WGS/m54259_190325_001155.subreads.bam	f475b6a66d91fde3f328f7e493c64750
PRJEB74310	ERS18607825	ps_158_001-r54259_20190322_102403-8_H01	WGS	GENOMIC	size fractionation	SINGLE	12000	Procedure & Checklist - 20 kb Template Preparation using SMRTbell template prep kit 1.0	PACBIO_SMRT	Sequel	/PacBio-WGS/m54259_190325_102759.subreads.bam	f48a2c85a465b76254198e393ac5b66e
PRJEB74310	ERS18607825	ps_158_001-r54259_20190326_143834-2_B01	WGS	GENOMIC	size fractionation	SINGLE	12000	Procedure & Checklist - 20 kb Template Preparation using SMRTbell template prep kit 1.0	PACBIO_SMRT	Sequel	/PacBio-WGS/m54259_190327_012434.subreads.bam	9639e167103e6958edcad4b5cccd92ff
PRJEB74310	ERS18607825	ps_158_001-r54259_20190326_143834-3_C01	WGS	GENOMIC	size fractionation	SINGLE	12000	Procedure & Checklist - 20 kb Template Preparation using SMRTbell template prep kit 1.0	PACBIO_SMRT	Sequel	/PacBio-WGS/m54259_190327_114052.subreads.bam	89e28abbbc4a8ea8e8053ce77a9f42c0
PRJEB74310	ERS18607825	ps_158_001-r54259_20190326_143834-4_D01	WGS	GENOMIC	size fractionation	SINGLE	12000	Procedure & Checklist - 20 kb Template Preparation using SMRTbell template prep kit 1.0	PACBIO_SMRT	Sequel	/PacBio-WGS/m54259_190327_215640.subreads.bam	2653d187840fece0ad97a2d91bba43e2
PRJEB74310	ERS18607825	ps_158_001-r54259_20190326_143834-5_E01	WGS	GENOMIC	size fractionation	SINGLE	12000	Procedure & Checklist - 20 kb Template Preparation using SMRTbell template prep kit 1.0	PACBIO_SMRT	Sequel	/PacBio-WGS/m54259_190328_081250.subreads.bam	3c314440f2cd2e8e9ec50be1d3e83e35
PRJEB74310	ERS18607825	ps_158_001-r54259_20190326_143834-6_F01	WGS	GENOMIC	size fractionation	SINGLE	12000	Procedure & Checklist - 20 kb Template Preparation using SMRTbell template prep kit 1.0	PACBIO_SMRT	Sequel	/PacBio-WGS/m54259_190328_182842.subreads.bam	00a4285d244b35d837b9b6bf6cdf620f
PRJEB74310	ERS18607825	ps_158_001-r54259_20190329_101454-1_A01	WGS	GENOMIC	size fractionation	SINGLE	12000	Procedure & Checklist - 20 kb Template Preparation using SMRTbell template prep kit 1.0	PACBIO_SMRT	Sequel	/PacBio-WGS/m54259_190329_102500.subreads.bam	f70658f5ae4dc58b363fd50e7ddc6f89
PRJEB74310	ERS18607825	ps_158_001-r54259_20190329_101454-2_B01	WGS	GENOMIC	size fractionation	SINGLE	12000	Procedure & Checklist - 20 kb Template Preparation using SMRTbell template prep kit 1.0	PACBIO_SMRT	Sequel	/PacBio-WGS/m54259_190329_203832.subreads.bam	4188c5def1434877e12dc07da038f6e5
PRJEB74310	ERS18607825	ps_158_001-r54259_20190329_101454-3_C01	WGS	GENOMIC	size fractionation	SINGLE	12000	Procedure & Checklist - 20 kb Template Preparation using SMRTbell template prep kit 1.0	PACBIO_SMRT	Sequel	/PacBio-WGS/m54259_190330_065439.subreads.bam	bbede8bd5cfd8b47957a999ac6984693
PRJEB74310	ERS18607825	ps_158_001-r54259_20190329_101454-4_D01	WGS	GENOMIC	size fractionation	SINGLE	12000	Procedure & Checklist - 20 kb Template Preparation using SMRTbell template prep kit 1.0	PACBIO_SMRT	Sequel	/PacBio-WGS/m54259_190330_171019.subreads.bam	584b0252473b023804785d57485aa150
PRJEB74310	ERS18607825	ps_158_001-r54259_20190329_101454-5_E01	WGS	GENOMIC	size fractionation	SINGLE	12000	Procedure & Checklist - 20 kb Template Preparation using SMRTbell template prep kit 1.0	PACBIO_SMRT	Sequel	/PacBio-WGS/m54259_190331_032611.subreads.bam	523aeed43f81a081defe4be44e43c926
